tick,present_sequence,framebuffer_crc
3096,1,00000000
3208,2,00000000
3211,3,00000000
3307,4,00000000
3322,5,00000000
3353,6,00000000
3363,7,00000000
3387,8,00000000
3530,9,00000000
3554,10,00000000
3601,11,00000000
