tick,present_sequence,framebuffer_crc
3022,1,00000000
3134,2,00000000
3137,3,00000000
3233,4,00000000
3248,5,00000000
3279,6,00000000
3289,7,00000000
3313,8,00000000
3456,9,00000000
3480,10,00000000
3527,11,00000000
